course_code,topic,question,option_a,option_b,option_c,option_d,correct,explanation
ECOM2402,Pointers,في C++ المؤشّر pointer يخزّن عادةً,قيمة المتغير نفسه,عنوان موقع في الذاكرة,اسم الدالة فقط,حجم المصفوفة,B,المؤشر يحتوي عنوانًا في الذاكرة وليس القيمة مباشرة
ECOM2402,OOP,الكلمة المفتاحية التي تُستخدم لإنشاء كائن من صنف على الكومة هي,class,new,delete,virtual,B,new تخصّص ذاكرة على الكومة وتنشئ الكائن
ECOM2402,OOP,ما الذي يميّز encapsulation؟,إخفاء التفاصيل الداخلية للصنف,تكرار الكود,حذف المؤشرات,إيقاف البرنامج,A,التغليف يجمع البيانات والدوال ويخفي التفاصيل غير الضرورية
ECOM2402,Memory,متى يحدث memory leak غالبًا؟,عند استخدام stack,عند تخصيص new دون delete,عند طباعة نص,عند مقارنة أعداد,B,نسيان تحرير الذاكرة المخصصة ديناميكيًا يسبب تسريبًا
ECOM2402,STL,أي حاوية في STL مناسبة لقائمة ديناميكية من العناصر؟,int[10],vector,enum,void,B,vector مصفوفة ديناميكية شائعة في STL
ECOM2311,Logic,عبارة (P ∧ ¬P) تكون,دائمًا صحيحة,دائمًا خاطئة,تعتمد على P,غير معرّفة,B,تناقض منطقي — لا يمكن أن تكون القضية ونفيها معًا
ECOM2311,Sets,اتحاد المجموعتين A و B يضم,عناصر A فقط,عناصر في A أو B أو كليهما,تقاطعهما فقط,عناصر خارج A وB,B,الاتحاد A∪B = العناصر في أحدهما على الأقل
ECOM2311,Sets,تقاطع A و B يضم,كل عناصر A وB,العناصر المشتركة فقط,فرق المجموعتين,المجموعة الخالية دائمًا,B,التقاطع هو العناصر الموجودة في المجموعتين معًا
ECOM2311,Graph,في الرسم البياني المتجه، الدرجة الداخلة لرأس هي,عدد الأضلاع الخارجة,عدد الأضلاع الداخلة إليه,عدد الرؤوس الكلي,طول أطول مسار,B,in-degree يعدّ الأسهم التي تصل إلى الرأس
ECOM2311,Counting,عدد التباديل لـ n عنصر مختلف هو,n,2^n,n!,n^2,C,التباديل n! ترتّب كل العناصر دون تكرار
MATH2341,Matrices,مصفوفة الوحدة I تحقق لأي مصفوفة مربعة A قابلة للضرب,A+I=0,AI=A و IA=A,A−I=A,det(I)=0,B,ضرب مصفوفة الوحدة لا يغيّر المصفوفة
MATH2341,Vectors,المتجهان متعامدان إذا كان حاصل ضربهما النقطي,يساوي 1,يساوي 0,سالب دائمًا,غير معرّف,B,u·v = 0 يعني التعامد في الفضاء الإقليدي
MATH2341,Determinants,إذا كانت det(A)=0 فإن المصفوفة A,قابلة للعكس,غير قابلة للعكس,مصفوفة وحدة,قطرية دائمًا,B,المحدّد صفر يعني أن المصفوفة شاذة وغير قابلة للعكس
MATH2341,Systems,نظام Ax=b له حل وحيد عندما,A غير قابلة للعكس,A مربعة وقابلة للعكس,b صفر فقط,عدد المعادلات أقل من المجاهيل,B,وجود عكس A يعطي حلًا وحيدًا x=A^{-1}b
MATH2341,Rank,رتبة المصفوفة Rank(A) هي,عدد الصفوف,بعد فضاء الأعمدة,دائمًا صفر,محدد المصفوفة,B,الرتبة = عدد الأعمدة المستقلة خطيًا
ARAB1202,نحو,الفاعل في الجملة الاسمية يُسمّى غالبًا,خبرًا,مبتدأ,مفعولًا به,حالًا,B,الجملة الاسمية تبدأ بمبتدأ ويأتي بعده الخبر
ARAB1202,نحو,الخبر في «الطالب مجتهد» هو,الطالب,مجتهد,أل,الضمة,B,مجتهد يخبر عن المبتدأ الطالب
ARAB1202,صرف,المصدر من الفعل الثلاثي «كتب» هو,كاتب,مكتوب,كتابة,يكتب,C,كتابة مصدر قياسي شائع لكتب
ARAB1202,إعراب,علامة رفع جمع المذكر السالم هي,الضمة,الواو,الياء,الفتحة,B,يُرفع جمع المذكر السالم بالواو
ARAB1202,نحو,المفعول به يقع غالبًا بعد,حرف الجر فقط,فعل متعدّ وفاعل,أداة الاستفهام,الاسم الموصول,B,الفعل المتعدي يحتاج مفعولًا به
ENGG1305,Vocab,في الإنجليزية التقنية كلمة algorithm تعني,خطأ برمجي,خوارزمية / خطوات حل مشكلة,ذاكرة عشوائية,نظام تشغيل,B,Algorithm = مجموعة خطوات لحل مسألة
ENGG1305,Vocab,كلمة hardware تعني,البرامج,المعدات المادية للحاسوب,الشبكة فقط,المستخدم,B,Hardware هو الجزء الفيزيائي من الجهاز
ENGG1305,Grammar,الجملة الصحيحة تقنيًا,The data is processed yesterday,The data was processed yesterday,The data process yesterday,Data processing yesterday was,B,الماضي البسيط مع was processed هو الصحيح
ENGG1305,Vocab,كلمة debug تعني,إضافة ميزة,إصلاح الأخطاء في البرنامج,حذف الملف,ترجمة النص,B,Debugging هو تتبع وإصلاح العلل
ENGG1305,Writing,في تقرير تقني يُفضَّل الأسلوب,العاطفي الطويل,الواضح والمباشر,الشعر,الكلام العامي فقط,B,التقارير التقنية تعتمد الوضوح والإيجاز
ENGG1209,CAD,الهدف الأساسي من الرسم الهندسي بالحاسوب,كتابة تقارير فقط,تمثيل دقيق للأبعاد والتصميم,تشغيل الشبكات,تشفير البيانات,B,CAD يُستخدم لرسم وتصميم هندسي دقيق
ENGG1209,Views,المسقط الذي يظهر الواجهة الأمامية غالبًا يُسمّى,Top view,Front view,Isometric,Section,B,المسقط الأمامي Front يعرض الوجه الرئيسي
ENGG1209,Dimensions,وحدة الرسم الهندسي للأبعاد الخطية الشائعة هي,فولت,مليمتر أو بوصة,هرتز,بايت,B,الأبعاد تُقاس بوحدات طول مثل mm
ENGG1209,Layers,طبقات Layers في CAD تفيد في,تشغيل المعالج,تنظيم العناصر وإظهار/إخفاء مجموعات,حذف نظام التشغيل,طباعة النصوص الأدبية,B,الطبقات تنظّم الرسم وتسهّل التحكم بالعرض
ENGG1209,3D,النموذج ثلاثي الأبعاد يضيف مقارنة بالرسم ثنائي الأبعاد,اللون فقط,العمق والمحاور الثلاثة,النصوص,الخطوط المتقطعة فقط,B,3D يضيف محور العمق Z مع X و Y
QURN3101,تجويد,عدد أجزاء القرآن الكريم,7,15,30,60,C,القرآن مقسّم إلى ثلاثين جزءًا
QURN3101,سور,عدد سور القرآن الكريم,100,114,120,99,B,المصحف يضم 114 سورة
QURN3101,تجويد,المد الطبيعي مقداره تقريبًا,حركتان,ست حركات وجوبًا,عشر حركات,بدون مد,A,المد الطبيعي حركتان
QURN3101,مصطلح,الوحي لغةً يدل على,الإعلام الخفي السريع,الكتاب المطبوع,الصوت العالي,السوق,A,الوحي إعلام بخفاء
QURN3101,تلاوة,الاستعاذة تُقال,في نهاية السورة فقط,قبل القراءة,بدل البسملة دائمًا,بعد الركوع,B,يُستعاذ بالله قبل تلاوة القرآن
